zip,post_district,comment,region,town,lat,lng
1233,Lully GE,,GE,Bernex,46.16338,6.07303
1233,Sézenove,,GE,Bernex,46.1771419,6.0764849
1234,Pinchat,,GE,Vessy,46.1722951,6.1446877
1234,Vessy,,GE,Vessy,46.1824417,6.1666044
1236,Cartigny,,GE,Cartigny,46.1741622,6.0195753
1237,Avully,,GE,Avully,46.1696093,6.0013782
1239,Bossy,,GE,Collex,46.2781565,6.1129842
1239,Collex,,GE,Collex,46.2806484,6.1183429
1239,Vireloup,,GE,Collex,46.2624516,6.1222817
1240,Genève,,GE,Genève,46.199444,6.1451157
1241,Mon-Idée,,GE,Puplinge,46.2105553,6.2317139
1241,Puplinge,,GE,Puplinge,46.2105553,6.2317139
1242,Bourdigny,,GE,Satigny,46.22346,6.03876
1242,Choully,,GE,Satigny,46.22257,6.02768
1242,Peissy,,GE,Satigny,46.21055,6.02128
1242,Peney GE,,GE,Satigny,46.20109,6.04288
1242,Satigny,,GE,Satigny,46.215764,6.0332425
1243,Cara,,GE,Presinge,46.21208,6.25163
1243,Presinge,,GE,Presinge,46.218603,6.2535283
1244,Chevrier,,GE,Choulex,46.220249,6.223224
1244,Choulex,,GE,Choulex,46.2243403,6.2266636
1245,Collonge-Bellerive,,GE,Collonge-Bellerive,46.2568613,6.2029085
1246,Corsier GE,,GE,Corsier GE,46.2626285,6.2294181
1247,Anières,,GE,Anières,46.2746564,6.2292391
1247,Chevrens,,GE,Anières,46.28462,6.23994
1248,Hermance,,GE,Hermance,46.2905303,6.246758
1251,Gy,,GE,Gy,46.2495945,6.2547728
1251,Merlinge,,GE,Gy,46.2506196,6.2485643
1252,Corsinge,,GE,Meinier,46.2393861,6.244161
1252,Meinier,,GE,Meinier,46.2467593,6.2343577
1253,Chougny,,GE,Vandoeuvres,46.2185,6.19822
1253,Pressy,,GE,Vandoeuvres,46.2298,6.20589
1253,Vandoeuvres,,GE,Vandoeuvres,46.2213459,6.202417
1254,Jussy,,GE,Jussy,46.2347656,6.2652187
1254,Lullier,,GE,Jussy,46.2289531,6.2574315
1254,Monniaz,,GE,Jussy,46.2420974,6.3065767
1255,Sierne,,GE,Veyrier,46.178003,6.1826345
1255,Veyrier,,GE,Veyrier,46.1695143,6.1755464
1256,Troinex,,GE,Troinex,46.1612237,6.1513978
1257,Bardonnex,,GE,La Croix-de-Rozon,46.1503619,6.1052649
1257,Charrot,,GE,La Croix-de-Rozon,46.1480189,6.1181885
1257,La Croix-de-Rozon,,GE,La Croix-de-Rozon,46.14465,6.13602
1257,Landecy,,GE,La Croix-de-Rozon,46.1444076,6.1298295
1258,Certoux,,GE,Perly,46.1565,6.08236
1258,Perly,,GE,Perly,46.1553483,6.0945809
1260,Bois-Bougy,,VD,Nyon,46.3767984,6.2245497
1260,Nyon,,VD,Nyon,46.3805092,6.2298735
1260,Nyon 1,PO box only,VD,Nyon 1,46.3765573,6.2265601
1260,Nyon 2 Champ-Colin,PO box only,VD,Nyon 2,46.3841891,6.2180005
1261,Le Vaud,,VD,Le Vaud,46.4781748,6.2388488
1261,Longirod,,VD,Longirod,46.4951923,6.2585349
1261,Marchissy,,VD,Marchissy,46.4878378,6.2470386
1262,Eysins,,VD,Eysins,46.381576,6.2088848
1263,Crassier,,VD,Crassier,46.3744662,6.1635803
1264,La Givrine,,VD,St-Cergue,46.4547841,6.1123853
1264,St-Cergue,,VD,St-Cergue,46.4431161,6.1420428
1265,La Cure,,VD,La Cure,46.4556345,6.0884027
1266,Duillier,,VD,Duillier,46.4095455,6.2367825
1267,Coinsins,,VD,Coinsins,46.4245549,6.2361235
1267,Vich,,VD,Vich,46.4288507,6.2504103
1267,Vich-Coinsins,PO box only,VD,Vich-Coinsins,46.4256115,6.2425618
1268,Begnins,,VD,Begnins,46.4408426,6.2477524
1268,Burtigny,,VD,Burtigny,46.4675773,6.2569481
1269,Bassins,,VD,Bassins,46.4662366,6.2315413
1270,Trélex,,VD,Trélex,46.4153505,6.2048921
1271,Givrins,,VD,Givrins,46.428946,6.2018779
1272,Genolier,,VD,Genolier,46.4349956,6.217922
1273,Arzier-Le Muids,,VD,Arzier-Le Muids,46.4539308,6.2197184
1274,Grens,,VD,Grens,46.3931344,6.1908042
1274,Signy,,VD,Signy,46.39011,6.19644
1274,Signy-Centre,PO box only,VD,Signy-Centre,46.397494,6.205832
1275,Chéserex,,VD,Chéserex,46.40057,6.17475
1276,Gingins,,VD,Gingins,46.4256801,6.1523667
1277,Arnex-sur-Nyon,,VD,Arnex-sur-Nyon,46.3752208,6.1915674
1277,Borex,,VD,Borex,46.3786499,6.1774963
1278,La Rippe,,VD,La Rippe,46.3815158,6.150842
1279,Bogis-Bossey,,VD,Bogis-Bossey,46.352546,6.1654551
1279,Chavannes-de-Bogis,,VD,Chavannes-de-Bogis,46.3435262,6.1621477
1281,Russin,,GE,Russin,46.1880652,6.0135719
1283,Dardagny,,GE,Dardagny,46.1947347,5.9949263
1283,Essertines GE,,GE,Dardagny,46.2052787,5.9883767
1283,La Plaine,,GE,La Plaine,46.1777336,6.0014166
1283,Malval,,GE,Dardagny,46.21052,5.98829
1284,Chancy,,GE,Chancy,46.1494996,5.9727228
1285,Athenaz (Avusy),,GE,Athenaz (Avusy),46.15474,6.0069
1285,Avusy,,GE,Athenaz (Avusy),46.1444638,6.0122909
1285,Sézegnin,,GE,Athenaz (Avusy),46.15474,6.0069
1286,Soral,,GE,Soral,46.1444245,6.043746
1287,Laconnex,,GE,Laconnex,46.1556213,6.0359714
1288,Aire-la-Ville,,GE,Aire-la-Ville,46.1905583,6.0428984
1289,Genève Services Spéciaux,PO box only,GE,Genève Services Spéciaux,46.199444,6.1451157
1290,Chavannes-des-Bois,,VD,Chavannes-des-Bois,46.3158782,6.1332926
1290,Pont-Céard,,GE,Versoix,46.2876938,6.1657813
1290,Richelien,,GE,Versoix,46.2795782,6.135844
1290,Sauverny,,GE,Versoix,46.3118509,6.1208684
1290,Versoix,,GE,Versoix,46.2876938,6.1657813
1291,Commugny,,VD,Commugny,46.3187046,6.1774577
1292,Chambésy,,GE,Chambésy,46.2430456,6.142291
1292,Pregny,,GE,Chambésy,46.2341791,6.1393268
1293,Bellevue,,GE,Bellevue,46.2557621,6.1471443
1293,Colovrex,,GE,Bellevue,46.2558494,6.1311553
1293,Les Tuileries,,GE,Bellevue,46.249944,6.14734
1293,Valavran,,GE,Bellevue,46.26089,6.14312
